timestamp,open,high,low,close,volume
2025-07-04 04:22:00+00:00,100.0,101.0,99.0,100.0,1.0
2025-07-04 08:22:00+00:00,101.0,102.0,100.0,101.0,1.0
2025-07-04 12:22:00+00:00,102.0,103.0,101.0,102.0,1.0
2025-07-04 16:22:00+00:00,103.0,104.0,102.0,103.0,1.0
2025-07-04 20:22:00+00:00,104.0,105.0,103.0,104.0,1.0
2025-07-05 00:22:00+00:00,105.0,106.0,104.0,105.0,1.0
2025-07-05 04:22:00+00:00,106.0,107.0,105.0,106.0,1.0
2025-07-05 08:22:00+00:00,107.0,108.0,106.0,107.0,1.0
2025-07-05 12:22:00+00:00,108.0,109.0,107.0,108.0,1.0
2025-07-05 16:22:00+00:00,109.0,110.0,108.0,109.0,1.0
